ds,article,y,yhat,residual
2021-07-08,BAGUETTE,33.0,33.87546684881217,-0.8754668488121666
2021-07-09,BAGUETTE,36.0,34.82826075439485,1.1717392456051527
2021-07-10,BAGUETTE,36.0,46.67507967408935,-10.675079674089353
2021-07-11,BAGUETTE,75.0,57.46115561144309,17.53884438855691
2021-07-12,BAGUETTE,49.0,36.8144566896154,12.185543310384602
2021-07-13,BAGUETTE,50.0,35.52338400036489,14.476615999635108
2021-07-14,BAGUETTE,63.0,28.449997664309205,34.55000233569079
2021-07-15,BAGUETTE,49.0,34.3032430019556,14.6967569980444
2021-07-16,BAGUETTE,62.0,35.25603690764852,26.74396309235148
2021-07-17,BAGUETTE,55.0,47.10285582732894,7.897144172671062
2021-07-18,BAGUETTE,105.0,57.88893176465005,47.11106823534995
2021-07-19,BAGUETTE,42.0,37.24223284287158,4.75776715712842
2021-07-20,BAGUETTE,56.0,35.951160153573554,20.048839846426446
2021-07-21,BAGUETTE,55.0,28.877773817521295,26.122226182478705
2021-07-22,BAGUETTE,62.0,34.731019155154115,27.268980844845885
2021-07-23,BAGUETTE,56.0,35.68381306083564,20.31618693916436
2021-07-24,BAGUETTE,59.0,47.53063198053814,11.46936801946186
2021-07-25,BAGUETTE,89.0,58.31670791787852,30.683292082121483
2021-07-26,BAGUETTE,56.0,37.67000899606411,18.329991003935888
2021-07-27,BAGUETTE,39.0,36.37893630676922,2.6210636932307807
2021-07-28,BAGUETTE,48.0,29.30554997071337,18.69445002928663
2021-07-29,BAGUETTE,56.0,35.158795308382196,20.841204691617804
2021-07-30,BAGUETTE,63.0,36.11158921401838,26.88841078598162
2021-07-31,BAGUETTE,50.0,47.95840813377773,2.0415918662222694
2021-08-01,BAGUETTE,78.0,58.74448407108548,19.25551592891452
2021-08-02,BAGUETTE,69.0,38.097785149256644,30.902214850743356
2021-08-03,BAGUETTE,84.0,36.806712459977895,47.193287540022105
2021-08-04,BAGUETTE,57.0,29.733326123925472,27.266673876074528
2021-08-05,BAGUETTE,46.0,35.586571461610276,10.413428538389724
2021-08-06,BAGUETTE,51.0,36.539365367238766,14.460634632761234
2021-08-07,BAGUETTE,64.0,60.42763095504902,3.5723690449509817
2021-08-08,BAGUETTE,88.0,74.65001797839467,13.349982021605328
2021-08-09,BAGUETTE,69.0,52.622401561493625,16.377598438506375
2021-08-10,BAGUETTE,58.0,52.03683380191558,5.963166198084423
2021-08-11,BAGUETTE,69.0,45.846363310275656,23.153636689724344
2021-08-12,BAGUETTE,80.0,50.63167811569248,29.36832188430752
