ds,article,y,unit_price
2021-01-02,BAGUETTE,46.0,0.9
2021-01-02,BANETTE,40.0,1.05
2021-01-02,BANETTINE,6.0,0.6
2021-01-02,BOULE 200G,6.0,1.1
2021-01-02,BOULE 400G,11.0,1.5
2021-01-02,BRIOCHE,2.0,5.0
2021-01-02,CAFE OU EAU,6.0,1.0
2021-01-02,CAMPAGNE,10.0,1.8
2021-01-02,CEREAL BAGUETTE,19.0,1.25
2021-01-02,COMPLET,10.0,1.5
2021-01-02,COOKIE,8.0,1.0
2021-01-02,COUPE,55.0,0.15
2021-01-02,CROISSANT,66.0,1.1
2021-01-02,DEMI BAGUETTE,1.0,0.45
2021-01-02,FICELLE,5.0,0.6
2021-01-02,FINANCIER X5,1.0,3.0
2021-01-02,KOUIGN AMANN,6.0,2.1
2021-01-02,MOISSON,10.0,2.0
2021-01-02,PAIN,6.0,1.15
2021-01-02,PAIN AU CHOCOLAT,48.0,1.2
2021-01-02,PAIN AUX RAISINS,6.0,1.4
2021-01-02,PAIN BANETTE,6.0,1.4
2021-01-02,QUIM BREAD,3.0,1.0
2021-01-02,SAND JB EMMENTAL,9.0,3.5
2021-01-02,SANDWICH COMPLET,2.0,4.5
2021-01-02,SEIGLE,5.0,1.8
2021-01-02,SPECIAL BREAD,8.0,2.4
2021-01-02,TRADITIONAL BAGUETTE,128.0,1.2
2021-01-03,BAGUETTE,35.0,0.9
2021-01-03,BANETTE,35.0,1.05
2021-01-03,BANETTINE,5.0,0.6
2021-01-03,BOULE 200G,3.0,1.1
2021-01-03,BOULE 400G,11.0,1.5
2021-01-03,BRIOCHE,3.0,5.0
2021-01-03,CAMPAGNE,9.0,1.8
2021-01-03,CEREAL BAGUETTE,16.0,1.25
2021-01-03,CHAUSSON AUX POMMES,4.0,1.3999999999999997
2021-01-03,COMPLET,6.0,1.5
2021-01-03,COOKIE,2.0,1.0
2021-01-03,COUPE,43.0,0.15
2021-01-03,CROISSANT,59.0,1.1
2021-01-03,DEMI BAGUETTE,4.0,0.45
2021-01-03,FICELLE,4.0,0.6
2021-01-03,KOUIGN AMANN,3.0,2.1
2021-01-03,MOISSON,6.0,2.0
2021-01-03,PAIN,4.0,1.15
2021-01-03,PAIN AU CHOCOLAT,45.0,1.2
2021-01-03,PAIN AUX RAISINS,4.0,1.3999999999999997
2021-01-03,PAIN BANETTE,5.0,1.4
2021-01-03,QUIM BREAD,7.0,1.0
2021-01-03,SEIGLE,1.0,1.8
2021-01-03,SPECIAL BREAD,7.0,2.4
2021-01-03,TRADITIONAL BAGUETTE,171.0,1.2
2021-01-04,BAGUETTE,30.0,0.9000000000000001
2021-01-04,BANETTE,24.0,1.05
2021-01-04,BANETTINE,3.0,0.6
2021-01-04,BOISSON 33CL,1.0,1.5
2021-01-04,BOULE 200G,4.0,1.1
2021-01-04,BOULE 400G,5.0,1.5
2021-01-04,BRIOCHE,1.0,5.0
2021-01-04,CAFE OU EAU,3.0,1.0
2021-01-04,CAMPAGNE,6.0,1.8
2021-01-04,CEREAL BAGUETTE,7.0,1.25
2021-01-04,COMPLET,4.0,1.5
2021-01-04,COOKIE,2.0,1.0
2021-01-04,COUPE,22.0,0.15
2021-01-04,CROISSANT,17.0,1.1
2021-01-04,FICELLE,1.0,0.6
2021-01-04,FORMULE SANDWICH,4.0,6.5
2021-01-04,KOUIGN AMANN,2.0,2.1
2021-01-04,MOISSON,1.0,2.0
2021-01-04,PAIN,3.0,1.15
2021-01-04,PAIN AU CHOCOLAT,17.0,1.2
2021-01-04,PAIN AUX RAISINS,2.0,1.4
2021-01-04,SAND JB EMMENTAL,1.0,3.5
2021-01-04,SANDWICH COMPLET,4.0,4.5
2021-01-04,SEIGLE,2.0,1.8
2021-01-04,SPECIAL BREAD,7.0,2.4
2021-01-04,TRADITIONAL BAGUETTE,128.0,1.2
2021-01-05,BAGUETTE,29.0,0.9
2021-01-05,BANETTE,26.0,1.05
2021-01-05,BANETTINE,2.0,0.6
2021-01-05,BOISSON 33CL,3.0,1.5
2021-01-05,BOULE 200G,2.0,1.1
2021-01-05,BOULE 400G,6.0,1.5
2021-01-05,BRIOCHE,2.0,5.0
2021-01-05,CAFE OU EAU,2.0,1.0
2021-01-05,CAMPAGNE,3.0,1.8
2021-01-05,CEREAL BAGUETTE,7.0,1.25
2021-01-05,COMPLET,2.0,1.5
2021-01-05,COOKIE,6.0,1.0
2021-01-05,COUPE,19.0,0.15
2021-01-05,CROISSANT,12.0,1.1
2021-01-05,CROISSANT AMANDES,2.0,1.4
2021-01-05,DEMI BAGUETTE,3.0,0.45
2021-01-05,FICELLE,4.0,0.6
2021-01-05,FORMULE SANDWICH,12.0,6.5
2021-01-05,KOUIGN AMANN,5.0,2.1
2021-01-05,MOISSON,6.0,2.0
2021-01-05,PAIN,3.0,1.15
2021-01-05,PAIN AU CHOCOLAT,6.0,1.2
2021-01-05,PAIN AUX RAISINS,4.0,1.3999999999999997
2021-01-05,PAIN BANETTE,5.0,1.4
2021-01-05,PAIN CHOCO AMANDES,3.0,1.5
2021-01-05,QUIM BREAD,4.0,1.0
2021-01-05,SAND JB EMMENTAL,1.0,3.5
2021-01-05,SANDWICH COMPLET,5.0,4.5
2021-01-05,SEIGLE,1.0,1.8
2021-01-05,SPECIAL BREAD,7.0,2.4
2021-01-05,TRADITIONAL BAGUETTE,99.0,1.2
2021-01-07,BAGUETTE,28.0,0.9
2021-01-07,BANETTE,21.0,1.05
2021-01-07,BANETTINE,3.0,0.6
2021-01-07,BOISSON 33CL,1.0,1.5
2021-01-07,BOULE 200G,5.0,1.1
2021-01-07,BOULE 400G,3.0,1.5
2021-01-07,BRIOCHE,1.0,5.0
2021-01-07,CAFE OU EAU,3.0,1.0
2021-01-07,CAMPAGNE,3.0,1.8
2021-01-07,CEREAL BAGUETTE,7.0,1.25
2021-01-07,CHAUSSON AUX POMMES,1.0,1.4
2021-01-07,COMPLET,4.0,1.5
2021-01-07,COOKIE,3.0,1.0
2021-01-07,COUPE,23.0,0.15
2021-01-07,CROISSANT,15.0,1.1
2021-01-07,CROISSANT AMANDES,3.0,1.3999999999999997
2021-01-07,DEMI BAGUETTE,1.0,0.45
2021-01-07,FICELLE,1.0,0.6
2021-01-07,FORMULE SANDWICH,8.0,6.5
2021-01-07,MOISSON,7.0,2.0
2021-01-07,PAIN,4.0,1.15
2021-01-07,PAIN AU CHOCOLAT,15.0,1.2
2021-01-07,PAIN AUX RAISINS,3.0,1.4
