ds,y,day_of_week,is_weekend
2021-01-02,987.85,5,1
2021-01-03,1014.3,6,1
2021-01-04,461.9,0,0
2021-01-05,515.7,1,0
2021-01-06,0.0,2,0
2021-01-07,544.0,3,0
2021-01-08,533.6,4,0
2021-01-09,666.45,5,1
2021-01-10,890.8,6,1
2021-01-11,439.55,0,0
2021-01-12,376.7,1,0
2021-01-13,0.0,2,0
2021-01-14,516.55,3,0
2021-01-15,517.82,4,0
2021-01-16,620.65,5,1
2021-01-17,834.2,6,1
2021-01-18,451.05,0,0
2021-01-19,416.34999999999997,1,0
2021-01-20,0.0,2,0
2021-01-21,441.0,3,0
2021-01-22,535.1,4,0
2021-01-23,602.8,5,1
2021-01-24,761.85,6,1
2021-01-25,438.3,0,0
2021-01-26,431.05,1,0
2021-01-27,0.0,2,0
2021-01-28,397.3,3,0
2021-01-29,512.7,4,0
2021-01-30,571.15,5,1
2021-01-31,779.95,6,1
2021-02-01,340.4,0,0
2021-02-02,411.35,1,0
2021-02-03,0.0,2,0
2021-02-04,424.55,3,0
2021-02-05,543.45,4,0
2021-02-06,629.4,5,1
2021-02-07,764.35,6,1
2021-02-08,465.45,0,0
2021-02-09,459.6,1,0
2021-02-10,0.0,2,0
2021-02-11,314.45,3,0
2021-02-12,442.75,4,0
2021-02-13,583.5,5,1
2021-02-14,929.55,6,1
2021-02-15,485.15,0,0
2021-02-16,456.45,1,0
2021-02-17,0.0,2,0
2021-02-18,451.15,3,0
2021-02-19,607.95,4,0
2021-02-20,694.8,5,1
2021-02-21,1183.5,6,1
2021-02-22,741.45,0,0
2021-02-23,808.55,1,0
2021-02-24,0.0,2,0
2021-02-25,813.5,3,0
2021-02-26,1084.15,4,0
2021-02-27,1324.65,5,1
2021-02-28,1867.05,6,1
2021-03-01,760.25,0,0
2021-03-02,848.8,1,0
2021-03-03,0.0,2,0
2021-03-04,807.3,3,0
2021-03-05,915.6,4,0
2021-03-06,996.6999999999999,5,1
2021-03-07,1244.9,6,1
2021-03-08,600.65,0,0
2021-03-09,610.45,1,0
2021-03-10,0.0,2,0
2021-03-11,638.4,3,0
2021-03-12,702.4,4,0
2021-03-13,927.8,5,1
2021-03-14,1155.5,6,1
2021-03-15,618.95,0,0
2021-03-16,755.45,1,0
2021-03-17,0.0,2,0
2021-03-18,486.25,3,0
2021-03-19,624.6,4,0
2021-03-20,870.75,5,1
2021-03-21,1098.35,6,1
2021-03-22,579.85,0,0
2021-03-23,470.1,1,0
2021-03-24,0.0,2,0
2021-03-25,616.55,3,0
2021-03-26,665.3,4,0
2021-03-27,695.95,5,1
2021-03-28,1059.0,6,1
2021-03-29,630.7,0,0
2021-03-30,707.05,1,0
2021-03-31,0.0,2,0
2021-04-01,559.05,3,0
2021-04-02,800.5,4,0
2021-04-03,1097.95,5,1
2021-04-04,2088.35,6,1
2021-04-05,1032.1,0,0
2021-04-06,771.0,1,0
2021-04-07,0.0,2,0
2021-04-08,605.5,3,0
2021-04-09,599.8,4,0
2021-04-10,865.45,5,1
2021-04-11,1102.35,6,1
2021-04-12,722.3,0,0
2021-04-13,765.4,1,0
2021-04-14,539.8,2,0
2021-04-15,674.25,3,0
2021-04-16,753.1,4,0
2021-04-17,950.15,5,1
2021-04-18,1458.95,6,1
2021-04-19,686.8,0,0
2021-04-20,823.0,1,0
2021-04-21,621.45,2,0
2021-04-22,859.1,3,0
2021-04-23,721.75,4,0
2021-04-24,994.55,5,1
2021-04-25,1459.6,6,1
2021-04-26,603.75,0,0
2021-04-27,533.15,1,0
2021-04-28,633.1,2,0
2021-04-29,650.0,3,0
2021-04-30,677.5,4,0
2021-05-01,986.8,5,1
2021-05-02,1255.7,6,1
2021-05-03,762.3,0,0
2021-05-04,621.35,1,0
2021-05-05,777.8,2,0
2021-05-06,625.85,3,0
2021-05-07,758.05,4,0
2021-05-08,1169.1,5,1
2021-05-09,1506.9,6,1
2021-05-10,691.05,0,0
2021-05-11,636.3,1,0
2021-05-12,977.3,2,0
2021-05-13,1607.5,3,0
2021-05-14,1839.9,4,0
2021-05-15,2065.6,5,1
2021-05-16,2209.0,6,1
2021-05-17,0.0,0,0
2021-05-18,0.0,1,0
2021-05-19,0.0,2,0
2021-05-20,0.0,3,0
2021-05-21,586.05,4,0
2021-05-22,1222.65,5,1
2021-05-23,1997.05,6,1
2021-05-24,1459.15,0,0
2021-05-25,759.6,1,0
2021-05-26,513.95,2,0
2021-05-27,646.1,3,0
2021-05-28,748.05,4,0
2021-05-29,963.15,5,1
2021-05-30,1527.5,6,1
2021-05-31,703.5,0,0
2021-06-01,684.7,1,0
2021-06-02,599.65,2,0
2021-06-03,612.4,3,0
2021-06-04,860.1999999999999,4,0
2021-06-05,944.25,5,1
2021-06-06,1369.75,6,1
2021-06-07,689.05,0,0
2021-06-08,761.3,1,0
2021-06-09,634.1,2,0
2021-06-10,600.85,3,0
2021-06-11,797.85,4,0
2021-06-12,916.1,5,1
2021-06-13,1472.15,6,1
2021-06-14,710.0,0,0
2021-06-15,728.0,1,0
2021-06-16,664.3,2,0
2021-06-17,559.95,3,0
2021-06-18,641.4,4,0
2021-06-19,934.6,5,1
2021-06-20,1423.95,6,1
2021-06-21,722.6,0,0
2021-06-22,657.85,1,0
2021-06-23,576.2,2,0
2021-06-24,776.3,3,0
2021-06-25,730.45,4,0
2021-06-26,924.45,5,1
2021-06-27,1611.0,6,1
2021-06-28,685.7,0,0
2021-06-29,670.3,1,0
2021-06-30,650.85,2,0
2021-07-01,742.65,3,0
2021-07-02,735.95,4,0
2021-07-03,1073.5,5,1
2021-07-04,1475.15,6,1
2021-07-05,891.35,0,0
2021-07-06,881.95,1,0
2021-07-07,910.4,2,0
2021-07-08,874.25,3,0
2021-07-09,1057.5,4,0
2021-07-10,1430.95,5,1
2021-07-11,2071.9,6,1
2021-07-12,1380.55,0,0
2021-07-13,1264.8,1,0
2021-07-14,1884.65,2,0
2021-07-15,1507.85,3,0
2021-07-16,1337.1,4,0
2021-07-17,1815.9,5,1
2021-07-18,1816.35,6,1
2021-07-19,1338.95,0,0
2021-07-20,1344.15,1,0
2021-07-21,1316.35,2,0
2021-07-22,1315.7,3,0
2021-07-23,1521.05,4,0
2021-07-24,1690.25,5,1
2021-07-25,1917.85,6,1
2021-07-26,1477.8,0,0
2021-07-27,1306.9,1,0
2021-07-28,1334.3,2,0
2021-07-29,1306.15,3,0
2021-07-30,1403.2,4,0
2021-07-31,1776.05,5,1
2021-08-01,1869.5,6,1
2021-08-02,1398.95,0,0
2021-08-03,1644.1,1,0
2021-08-04,1346.3,2,0
2021-08-05,1484.65,3,0
2021-08-06,1307.3,4,0
2021-08-07,1844.8,5,1
2021-08-08,2276.15,6,1
2021-08-09,1803.75,0,0
2021-08-10,1544.1,1,0
2021-08-11,1785.65,2,0
2021-08-12,1818.0,3,0
2021-08-13,1518.15,4,0
2021-08-14,1984.9,5,1
2021-08-15,2590.0,6,1
2021-08-16,1649.6,0,0
2021-08-17,1351.95,1,0
2021-08-18,1569.55,2,0
2021-08-19,1473.4,3,0
2021-08-20,1300.65,4,0
2021-08-21,1809.65,5,1
2021-08-22,1963.05,6,1
2021-08-23,1335.7,0,0
2021-08-24,1333.15,1,0
2021-08-25,1182.25,2,0
2021-08-26,1420.05,3,0
2021-08-27,1162.6,4,0
2021-08-28,1411.25,5,1
2021-08-29,1735.65,6,1
2021-08-30,954.9,0,0
2021-08-31,810.65,1,0
2021-09-01,726.9,2,0
2021-09-02,768.9,3,0
2021-09-03,829.6,4,0
2021-09-04,1029.45,5,1
2021-09-05,1367.4,6,1
2021-09-06,708.75,0,0
2021-09-07,683.05,1,0
2021-09-08,775.9,2,0
2021-09-09,735.1,3,0
2021-09-10,800.4,4,0
2021-09-11,927.65,5,1
2021-09-12,1339.15,6,1
2021-09-13,702.6,0,0
2021-09-14,665.25,1,0
2021-09-15,633.3,2,0
2021-09-16,577.25,3,0
2021-09-17,629.25,4,0
2021-09-18,876.25,5,1
2021-09-19,1014.2,6,1
2021-09-20,699.45,0,0
2021-09-21,720.95,1,0
2021-09-22,116.0,2,0
2021-09-23,585.65,3,0
2021-09-24,750.8,4,0
2021-09-25,857.3,5,1
2021-09-26,1078.25,6,1
2021-09-27,509.4,0,0
2021-09-28,526.6,1,0
2021-09-29,538.9,2,0
2021-09-30,555.15,3,0
2021-10-01,641.25,4,0
2021-10-02,638.1,5,1
2021-10-03,925.8,6,1
2021-10-04,578.1,0,0
2021-10-05,530.6,1,0
2021-10-06,562.2,2,0
2021-10-07,608.05,3,0
2021-10-08,752.7,4,0
2021-10-09,932.9,5,1
2021-10-10,1079.8,6,1
2021-10-11,506.5,0,0
2021-10-12,393.0,1,0
2021-10-13,469.7,2,0
2021-10-14,516.7,3,0
2021-10-15,484.3,4,0
2021-10-16,709.3,5,1
2021-10-17,1008.8,6,1
2021-10-18,415.1,0,0
2021-10-19,566.2,1,0
2021-10-20,525.9,2,0
2021-10-21,618.75,3,0
2021-10-22,622.75,4,0
2021-10-23,849.6999999999999,5,1
2021-10-24,1245.95,6,1
2021-10-25,662.95,0,0
2021-10-26,795.0,1,0
2021-10-27,798.6,2,0
2021-10-28,725.0,3,0
2021-10-29,913.35,4,0
2021-10-30,1134.8,5,1
2021-10-31,1492.5,6,1
2021-11-01,1372.3,0,0
2021-11-02,857.25,1,0
2021-11-03,780.55,2,0
2021-11-04,751.3,3,0
2021-11-05,819.5,4,0
2021-11-06,831.55,5,1
2021-11-07,761.6,6,1
2021-11-08,594.85,0,0
2021-11-09,631.65,1,0
2021-11-10,574.5,2,0
2021-11-11,728.65,3,0
2021-11-12,559.85,4,0
2021-11-13,654.9,5,1
2021-11-14,863.55,6,1
2021-11-15,452.3,0,0
2021-11-16,439.75,1,0
2021-11-17,0.0,2,0
2021-11-18,452.25,3,0
2021-11-19,526.85,4,0
2021-11-20,591.6,5,1
2021-11-21,720.35,6,1
2021-11-22,453.65,0,0
2021-11-23,457.65,1,0
2021-11-24,0.0,2,0
2021-11-25,467.8,3,0
2021-11-26,434.8,4,0
2021-11-27,532.0,5,1
2021-11-28,798.8,6,1
2021-11-29,404.7,0,0
2021-11-30,529.05,1,0
2021-12-01,0.0,2,0
2021-12-02,417.55,3,0
2021-12-03,451.45,4,0
2021-12-04,478.45,5,1
2021-12-05,783.4,6,1
2021-12-06,0.0,0,0
2021-12-07,0.0,1,0
2021-12-08,0.0,2,0
2021-12-09,376.2,3,0
2021-12-10,458.8,4,0
2021-12-11,583.95,5,1
2021-12-12,775.6999999999999,6,1
2021-12-13,488.25,0,0
2021-12-14,469.85,1,0
2021-12-15,0.0,2,0
2021-12-16,500.1,3,0
2021-12-17,568.5,4,0
2021-12-18,647.9,5,1
2021-12-19,819.9,6,1
2021-12-20,603.65,0,0
2021-12-21,655.5,1,0
2021-12-22,578.8,2,0
2021-12-23,770.55,3,0
2021-12-24,1824.4,4,0
2021-12-25,992.4,5,1
2021-12-26,1115.0,6,1
2021-12-27,751.55,0,0
2021-12-28,792.4,1,0
2021-12-29,704.75,2,0
2021-12-30,820.85,3,0
2021-12-31,1621.3,4,0
2022-01-01,0.0,5,1
2022-01-02,1652.95,6,1
2022-01-03,715.5,0,0
2022-01-04,127.64999999999999,1,0
2022-01-05,0.0,2,0
2022-01-06,584.35,3,0
2022-01-07,526.1,4,0
2022-01-08,637.95,5,1
2022-01-09,877.05,6,1
2022-01-10,458.0,0,0
2022-01-11,473.25,1,0
2022-01-12,0.0,2,0
2022-01-13,406.95,3,0
2022-01-14,568.8,4,0
2022-01-15,564.65,5,1
2022-01-16,827.55,6,1
2022-01-17,548.75,0,0
2022-01-18,452.65,1,0
2022-01-19,0.0,2,0
2022-01-20,514.3,3,0
2022-01-21,520.8,4,0
2022-01-22,553.95,5,1
2022-01-23,874.4,6,1
2022-01-24,477.8,0,0
2022-01-25,505.5,1,0
2022-01-26,0.0,2,0
2022-01-27,619.85,3,0
2022-01-28,487.55,4,0
2022-01-29,539.3,5,1
2022-01-30,747.55,6,1
2022-01-31,422.55,0,0
2022-02-01,403.85,1,0
2022-02-02,0.0,2,0
2022-02-03,480.65,3,0
2022-02-04,498.75,4,0
2022-02-05,572.35,5,1
2022-02-06,804.6,6,1
2022-02-07,547.95,0,0
2022-02-08,585.8,1,0
2022-02-09,0.0,2,0
2022-02-10,519.05,3,0
2022-02-11,605.5,4,0
2022-02-12,701.2,5,1
2022-02-13,981.8,6,1
2022-02-14,649.85,0,0
2022-02-15,849.35,1,0
2022-02-16,0.0,2,0
2022-02-17,765.25,3,0
2022-02-18,828.05,4,0
2022-02-19,913.55,5,1
2022-02-20,1194.35,6,1
2022-02-21,593.45,0,0
2022-02-22,621.3,1,0
2022-02-23,0.0,2,0
2022-02-24,729.45,3,0
2022-02-25,839.0,4,0
2022-02-26,930.75,5,1
2022-02-27,1376.1,6,1
2022-02-28,635.55,0,0
2022-03-01,809.5,1,0
2022-03-02,595.65,2,0
2022-03-03,610.53,3,0
2022-03-04,692.5,4,0
2022-03-05,904.8,5,1
2022-03-06,1197.73,6,1
2022-03-07,700.1,0,0
2022-03-08,603.55,1,0
2022-03-09,427.65,2,0
2022-03-10,417.2,3,0
2022-03-11,460.7,4,0
2022-03-12,510.55,5,1
2022-03-13,947.55,6,1
2022-03-14,572.5,0,0
2022-03-15,476.2,1,0
2022-03-16,389.7,2,0
2022-03-17,503.35,3,0
2022-03-18,471.15,4,0
2022-03-19,632.1,5,1
2022-03-20,1006.75,6,1
2022-03-21,598.85,0,0
2022-03-22,581.85,1,0
2022-03-23,502.95,2,0
2022-03-24,463.0,3,0
2022-03-25,573.25,4,0
2022-03-26,825.9,5,1
2022-03-27,979.05,6,1
2022-03-28,570.7,0,0
2022-03-29,554.45,1,0
2022-03-30,362.5,2,0
2022-03-31,404.35,3,0
2022-04-01,625.9,4,0
2022-04-02,614.65,5,1
2022-04-03,789.4,6,1
2022-04-04,533.05,0,0
2022-04-05,644.05,1,0
2022-04-06,475.25,2,0
2022-04-07,617.7,3,0
2022-04-08,467.6,4,0
2022-04-09,650.95,5,1
2022-04-10,961.4,6,1
2022-04-11,735.1,0,0
2022-04-12,618.1,1,0
2022-04-13,568.95,2,0
2022-04-14,612.25,3,0
2022-04-15,785.35,4,0
2022-04-16,1580.75,5,1
2022-04-17,1399.05,6,1
2022-04-18,1679.85,0,0
2022-04-19,902.75,1,0
2022-04-20,738.15,2,0
2022-04-21,1067.95,3,0
2022-04-22,920.65,4,0
2022-04-23,768.0,5,1
2022-04-24,1143.3,6,1
2022-04-25,682.45,0,0
2022-04-26,635.15,1,0
2022-04-27,807.35,2,0
2022-04-28,649.3,3,0
2022-04-29,729.35,4,0
2022-04-30,1268.2,5,1
2022-05-01,1722.55,6,1
2022-05-02,926.2,0,0
2022-05-03,696.8,1,0
2022-05-04,0.0,2,0
2022-05-05,761.9,3,0
2022-05-06,882.0,4,0
2022-05-07,858.05,5,1
2022-05-08,1230.95,6,1
2022-05-09,704.85,0,0
2022-05-10,637.05,1,0
2022-05-11,505.1,2,0
2022-05-12,675.7,3,0
2022-05-13,745.25,4,0
2022-05-14,860.2,5,1
2022-05-15,1228.8,6,1
2022-05-16,695.6,0,0
2022-05-17,603.85,1,0
2022-05-18,617.3,2,0
2022-05-19,614.95,3,0
2022-05-20,681.35,4,0
2022-05-21,779.35,5,1
2022-05-22,1161.7,6,1
2022-05-23,642.0,0,0
2022-05-24,657.5,1,0
2022-05-25,835.85,2,0
2022-05-26,1753.25,3,0
2022-05-27,1916.8,4,0
2022-05-28,1965.35,5,1
2022-05-29,2392.6,6,1
2022-05-30,850.45,0,0
2022-05-31,682.8,1,0
2022-06-01,638.05,2,0
2022-06-02,594.9,3,0
2022-06-03,734.9,4,0
2022-06-04,1106.35,5,1
2022-06-05,1756.1,6,1
2022-06-06,1682.25,0,0
2022-06-07,630.2,1,0
2022-06-08,579.35,2,0
2022-06-09,602.3,3,0
2022-06-10,709.0,4,0
2022-06-11,1027.7,5,1
2022-06-12,1168.3,6,1
2022-06-13,710.8,0,0
2022-06-14,703.25,1,0
2022-06-15,620.6,2,0
2022-06-16,606.85,3,0
2022-06-17,640.3,4,0
2022-06-18,1027.05,5,1
2022-06-19,1523.0,6,1
2022-06-20,690.8,0,0
2022-06-21,616.8,1,0
2022-06-22,517.5,2,0
2022-06-23,614.3,3,0
2022-06-24,801.9,4,0
2022-06-25,964.45,5,1
2022-06-26,1263.2,6,1
2022-06-27,770.25,0,0
2022-06-28,607.1,1,0
2022-06-29,609.15,2,0
2022-06-30,769.6,3,0
2022-07-01,836.05,4,0
2022-07-02,955.85,5,1
2022-07-03,1746.05,6,1
2022-07-04,875.65,0,0
2022-07-05,862.2,1,0
2022-07-06,753.25,2,0
2022-07-07,960.95,3,0
2022-07-08,952.2,4,0
2022-07-09,1355.65,5,1
2022-07-10,1948.75,6,1
2022-07-11,1308.05,0,0
2022-07-12,1182.65,1,0
2022-07-13,1368.85,2,0
2022-07-14,2098.65,3,0
2022-07-15,1904.55,4,0
2022-07-16,2334.0,5,1
2022-07-17,2656.95,6,1
2022-07-18,1584.95,0,0
2022-07-19,1286.9,1,0
2022-07-20,1323.9,2,0
2022-07-21,1332.1000000000001,3,0
2022-07-22,1374.6,4,0
2022-07-23,1967.92,5,1
2022-07-24,2205.4,6,1
2022-07-25,1584.8500000000001,0,0
2022-07-26,1408.05,1,0
2022-07-27,1312.9,2,0
2022-07-28,1481.65,3,0
2022-07-29,1306.15,4,0
2022-07-30,1840.0,5,1
2022-07-31,2486.55,6,1
2022-08-01,1796.2,0,0
2022-08-02,1694.4,1,0
2022-08-03,1475.1000000000001,2,0
2022-08-04,1680.65,3,0
2022-08-05,1728.85,4,0
2022-08-06,1964.7,5,1
2022-08-07,2487.9,6,1
2022-08-08,2192.35,0,0
2022-08-09,1695.2,1,0
2022-08-10,1801.05,2,0
2022-08-11,1945.95,3,0
2022-08-12,1960.8500000000001,4,0
2022-08-13,2133.05,5,1
2022-08-14,3184.1,6,1
2022-08-15,2348.7,0,0
2022-08-16,1733.2,1,0
2022-08-17,1605.3500000000001,2,0
2022-08-18,1830.05,3,0
2022-08-19,1440.15,4,0
2022-08-20,2153.6,5,1
2022-08-21,2571.0,6,1
2022-08-22,1656.0,0,0
2022-08-23,1356.15,1,0
2022-08-24,1350.95,2,0
2022-08-25,1195.85,3,0
2022-08-26,1023.0500000000001,4,0
2022-08-27,1261.05,5,1
2022-08-28,1946.05,6,1
2022-08-29,937.4,0,0
2022-08-30,1030.65,1,0
2022-08-31,678.1,2,0
2022-09-01,0.0,3,0
2022-09-02,703.25,4,0
2022-09-03,935.1,5,1
2022-09-04,1162.2,6,1
2022-09-05,865.0,0,0
2022-09-06,608.5,1,0
2022-09-07,599.05,2,0
2022-09-08,611.45,3,0
2022-09-09,740.5500000000001,4,0
2022-09-10,890.95,5,1
2022-09-11,1413.3,6,1
2022-09-12,693.95,0,0
2022-09-13,512.45,1,0
2022-09-14,588.8,2,0
2022-09-15,624.95,3,0
2022-09-16,696.35,4,0
2022-09-17,1024.6,5,1
2022-09-18,1199.7,6,1
2022-09-19,0.0,0,0
2022-09-20,619.15,1,0
2022-09-21,549.05,2,0
2022-09-22,593.85,3,0
2022-09-23,654.95,4,0
2022-09-24,846.45,5,1
2022-09-25,1152.85,6,1
2022-09-26,693.75,0,0
2022-09-27,746.45,1,0
2022-09-28,610.7,2,0
2022-09-29,689.2,3,0
2022-09-30,795.95,4,0
