ds,article,y,unit_price
2021-01-02,BOULE POLKA,2.0,1.6
2021-01-02,DIVERS PATISSERIE,1.0,0.0
2021-01-02,DIVERS VIENNOISERIE,2.0,5.0
2021-01-02,GACHE,1.0,5.0
2021-01-02,GAL FRANGIPANE 4P,8.0,8.0
2021-01-02,GAL FRANGIPANE 6P,7.0,12.0
2021-01-02,GAL POMME 4P,9.0,8.0
2021-01-02,GAL POMME 6P,4.0,12.0
2021-01-02,GD KOUIGN AMANN,2.0,7.5
2021-01-02,GRAND FAR BRETON,6.0,7.0
2021-01-02,SPECIAL BREAD KG,1.0,4.8
2021-01-02,VIK BREAD,9.0,2.5
2021-01-03,BAGUETTE GRAINE,8.0,1.3
2021-01-03,BOULE POLKA,2.0,1.6
2021-01-03,DIVERS CONFISERIE,1.0,3.0
2021-01-03,DIVERS VIENNOISERIE,5.0,4.8
2021-01-03,GAL FRANGIPANE 4P,7.0,8.0
2021-01-03,GAL FRANGIPANE 6P,7.0,12.0
2021-01-03,GAL POMME 4P,12.0,8.0
2021-01-03,GAL POMME 6P,9.0,12.0
2021-01-03,GD KOUIGN AMANN,4.0,7.5
2021-01-03,GRAND FAR BRETON,2.0,7.0
2021-01-03,SPECIAL BREAD KG,1.0,4.8
2021-01-03,SUCETTE,4.0,0.3
2021-01-03,VIK BREAD,10.0,2.5
2021-01-04,DIVERS BOULANGERIE,1.0,2.0
2021-01-04,DIVERS SANDWICHS,3.0,2.5
2021-01-04,DIVERS VIENNOISERIE,1.0,6.0
2021-01-04,GAL FRANGIPANE 4P,2.0,8.0
2021-01-04,GAL POMME 4P,3.0,8.0
2021-01-04,GD KOUIGN AMANN,2.0,7.5
2021-01-04,GRAND FAR BRETON,1.0,7.0
2021-01-04,PATES,1.0,4.5
2021-01-05,DIVERS BOULANGERIE,0.0,2.0
2021-01-05,DIVERS PATISSERIE,6.0,5.1875
2021-01-05,DIVERS SANDWICHS,2.0,3.75
2021-01-05,DIVERS VIENNOISERIE,3.0,2.8333333333333335
2021-01-05,GAL FRANGIPANE 4P,1.0,8.0
2021-01-05,GAL FRANGIPANE 6P,2.0,12.0
2021-01-05,NANTAIS,1.0,2.5
2021-01-05,SACHET VIENNOISERIE,3.0,4.0
2021-01-07,CHOCOLAT,1.0,1.5
2021-01-07,DIVERS BOULANGERIE,1.0,12.0
2021-01-07,DIVERS CONFISERIE,1.0,3.0
2021-01-07,DIVERS SANDWICHS,4.0,3.75
2021-01-07,DIVERS VIENNOISERIE,2.0,6.0
2021-01-07,FONDANT CHOCOLAT,2.0,2.5
2021-01-07,GAL FRANGIPANE 4P,5.0,8.0
2021-01-07,GAL FRANGIPANE 6P,4.0,12.0
2021-01-07,GAL POMME 4P,2.0,8.0
2021-01-07,GAL POMME 6P,1.0,12.0
2021-01-07,PAIN S/SEL,1.0,1.5
