cps,sps,sm,md,lr,mi,cv_wape
0.01,10.0,additive,5,0.1,200,0.27041454088665384
0.01,1.0,multiplicative,5,0.2,50,0.2707651250609965
0.05,10.0,additive,5,0.1,50,0.2717827065625513
0.01,1.0,multiplicative,5,0.1,100,0.2719217129146865
0.01,0.1,additive,5,0.2,50,0.27232960852694077
0.1,10.0,additive,7,0.2,200,0.2725881337221784
0.1,0.1,multiplicative,7,0.1,50,0.27278224448418
0.05,1.0,multiplicative,5,0.2,50,0.2728429824022107
0.1,10.0,multiplicative,7,0.1,200,0.27285615401935304
0.01,10.0,multiplicative,5,0.1,50,0.27285884210633626
0.01,1.0,additive,5,0.2,100,0.2730614941127898
0.01,1.0,additive,5,0.2,200,0.2732650503799541
0.1,10.0,multiplicative,5,0.2,200,0.27329096347062876
0.05,10.0,multiplicative,5,0.2,50,0.2738118135270297
0.05,1.0,multiplicative,5,0.1,200,0.2738643682827496
0.01,0.1,additive,5,0.2,100,0.2741681151625043
0.01,0.1,additive,7,0.1,100,0.27429116353047384
0.01,0.1,multiplicative,7,0.1,50,0.2745192928090789
0.01,10.0,additive,5,0.2,50,0.2745394459232393
0.01,1.0,multiplicative,5,0.2,100,0.27455156064769437
0.1,1.0,additive,5,0.2,100,0.27466426906944164
0.01,10.0,additive,5,0.2,100,0.2748717959237112
0.01,10.0,multiplicative,5,0.2,50,0.2748853714375714
0.05,0.1,multiplicative,5,0.1,200,0.27492316650434195
0.05,10.0,multiplicative,7,0.1,100,0.2751212942658558
0.05,1.0,multiplicative,5,0.1,100,0.27527060201740317
0.05,1.0,additive,5,0.2,200,0.27533016746426264
0.01,1.0,additive,5,0.1,100,0.27558090795229273
0.01,0.1,additive,7,0.2,200,0.27562075941476283
0.1,1.0,multiplicative,5,0.2,50,0.27564316144688583
0.05,0.1,multiplicative,5,0.2,200,0.2756462252125916
0.05,10.0,multiplicative,7,0.1,50,0.27570497147142325
0.05,1.0,additive,5,0.1,50,0.27579548347242666
0.05,10.0,additive,7,0.1,50,0.2758370876679058
0.01,1.0,multiplicative,5,0.1,200,0.2758435295296614
0.1,10.0,multiplicative,5,0.2,50,0.2762848497731658
0.05,10.0,additive,7,0.2,200,0.276398941476427
0.01,10.0,additive,7,0.1,200,0.2765147694269897
0.05,10.0,multiplicative,5,0.1,50,0.2765491474357681
0.05,1.0,multiplicative,7,0.2,100,0.27661199316649343
0.01,10.0,multiplicative,7,0.1,200,0.2766571415541703
0.05,10.0,additive,5,0.2,50,0.27682261976631817
0.05,10.0,multiplicative,5,0.1,100,0.2768506315542796
0.01,0.1,multiplicative,5,0.1,200,0.27693782648657156
0.05,1.0,additive,7,0.1,50,0.2769890219675743
0.1,0.1,multiplicative,5,0.1,50,0.2770615956377628
0.01,10.0,additive,7,0.2,50,0.277122503741001
0.05,10.0,multiplicative,5,0.1,200,0.2771529349531173
0.05,10.0,additive,5,0.1,200,0.2771788823169596
0.01,10.0,multiplicative,7,0.1,50,0.2771959660349478
0.05,10.0,additive,5,0.2,100,0.27721545883115756
0.01,1.0,multiplicative,5,0.2,200,0.2772823054045931
0.05,10.0,multiplicative,5,0.2,100,0.27729463589847647
0.05,0.1,multiplicative,5,0.2,50,0.2773157128052442
0.05,1.0,multiplicative,7,0.1,50,0.277423201422327
0.05,1.0,additive,5,0.2,50,0.27748561749819656
0.01,0.1,multiplicative,5,0.2,50,0.27761302244629565
0.01,1.0,additive,7,0.2,200,0.27770450204645186
0.01,10.0,additive,7,0.1,50,0.27776398554053283
0.05,10.0,additive,3,0.2,50,0.2777737572875292
0.5,1.0,multiplicative,5,0.2,200,0.2777933343299256
0.05,10.0,additive,7,0.1,100,0.27788411785035
0.01,0.1,additive,5,0.1,100,0.2779200401502714
0.01,1.0,additive,7,0.2,50,0.27801489824431425
0.1,1.0,multiplicative,5,0.1,200,0.2781001922066447
0.01,1.0,multiplicative,7,0.2,50,0.278164110684758
0.1,10.0,additive,3,0.1,200,0.2781684619356042
0.1,10.0,additive,7,0.1,50,0.2782169460499171
0.05,0.1,multiplicative,7,0.1,200,0.2782286676836344
0.1,1.0,multiplicative,7,0.2,200,0.2782378672821914
0.01,10.0,additive,3,0.1,100,0.278312085336881
0.01,0.1,additive,7,0.1,50,0.27831419933497886
0.3,1.0,additive,5,0.1,200,0.27832555642506285
0.1,0.1,multiplicative,5,0.2,50,0.2783992131841007
0.05,0.1,additive,3,0.2,100,0.2783999743147484
0.01,0.1,additive,3,0.2,100,0.27844952883501634
0.01,10.0,multiplicative,5,0.2,100,0.27845575874146183
0.05,10.0,additive,7,0.2,100,0.2785096589702044
0.05,0.1,multiplicative,5,0.1,100,0.278546008310663
0.1,0.1,multiplicative,5,0.1,200,0.27857840528685485
0.1,1.0,multiplicative,5,0.1,100,0.2786327942049787
0.01,1.0,multiplicative,5,0.1,50,0.2786532031652962
0.01,1.0,additive,5,0.1,200,0.2787055888207385
0.1,1.0,multiplicative,7,0.1,200,0.2787384302646973
0.05,1.0,multiplicative,7,0.2,200,0.2787699355875429
0.1,10.0,additive,7,0.1,200,0.2788125693777368
0.1,0.1,additive,5,0.1,100,0.2788250421343469
0.01,10.0,multiplicative,5,0.2,200,0.27887212840992875
0.01,10.0,additive,5,0.1,50,0.27892541088989975
0.05,10.0,additive,5,0.2,200,0.27892827661813946
0.01,0.1,multiplicative,5,0.2,100,0.2789745767758761
0.1,10.0,multiplicative,5,0.1,50,0.2789861228719655
0.1,10.0,multiplicative,5,0.1,100,0.2790084608814519
0.05,10.0,additive,3,0.2,200,0.27905106555343306
0.01,0.1,additive,7,0.2,100,0.27907506120115877
0.1,10.0,multiplicative,7,0.1,100,0.2790991682612061
0.01,1.0,additive,3,0.2,200,0.27927313717050206
0.01,0.1,multiplicative,7,0.1,100,0.2793174999336202
0.1,10.0,multiplicative,7,0.2,50,0.279326519127988
0.05,0.1,additive,5,0.2,200,0.27932829109599416
0.01,0.1,additive,5,0.1,50,0.27939356678454147
0.01,0.1,multiplicative,5,0.1,50,0.2794234681710752
0.01,10.0,multiplicative,5,0.1,200,0.27944929814259944
0.05,10.0,additive,5,0.1,100,0.27948273922711214
0.1,10.0,additive,3,0.2,200,0.27950797061866894
